,City,Cloudiness,Country,Date,Humidity,lat,Lng,max_temp,Wind Speed
155,cidreira,48,AU,1587837689,93,-33.87,121.9,55.4,4.7
156,severo-kurilsk,95,PG,1587837691,75,-2.57,150.8,84.6,13.49
157,satitoa,57,NE,1587837692,7,18.74,7.39,98.98,7.11
158,krasnoselkup,2,VE,1587837693,66,11.66,-70.22,83.86,29.19
159,atchison,7,RE,1587837694,83,-21.36,55.77,77,3.36
160,rodos,100,NO,1587837696,92,70.37,31.11,33.15,27.51
161,amderma,20,KR,1587837697,76,35.24,129.21,55.4,8.05
162,dhone,15,YT,1587837698,70,-12.79,45.27,84.2,6.93
163,ust-tsilma,13,VE,1587837699,42,9.04,-69.74,92.73,4.94
164,dordrecht,100,RU,1587837701,95,71.92,114.08,33.8,7.52
165,longyearbyen,40,US,1587837474,68,37.99,-84.48,66,5.82
166,broken hill,89,NZ,1587837703,68,-46.6,168.33,51.01,10
167,micheweni,40,CO,1587837705,61,4.24,-75.24,82.4,2.46
168,san carlos de bariloche,40,CA,1587837706,28,48.38,-77.23,42.8,5.82
169,laguna,72,NO,1587837708,74,67.67,12.69,38.28,18.19
170,esperance,0,KZ,1587837709,55,52.63,70.42,44.38,5.32
171,kavieng,75,IS,1587837710,61,63.84,-22.43,48.2,3.36
172,arlit,9,AO,1587837711,32,-17.07,15.73,72.18,4.14
173,punta cardon,0,ZA,1587837713,49,-33.01,17.94,69.8,6.93
174,saint-philippe,64,NA,1587837714,18,-24.13,19.12,74.62,5.1
175,vardo,46,PF,1587837715,78,-22.43,-151.33,78.96,12.88
176,kijang,61,CD,1587837716,64,2.15,21.52,79.56,2.28
177,dzaoudzi,1,US,1587837516,32,37.1,-113.58,75.99,1.52
178,guanare,98,RU,1587837719,98,73.51,80.55,18.01,10.71
179,saskylakh,90,US,1587837468,72,35.3,-81.02,64.4,10.29
180,lexington,20,CA,1587837721,70,68.22,-135.01,-0.4,4.7
181,bluff,0,AU,1587837630,82,-30.3,153.13,66.2,11.41
182,rovira,0,AU,1587837724,93,-28.65,153.62,62.01,4.14
183,senneterre,90,RU,1587837725,92,64.75,177.48,17.6,13.42
184,a,90,BR,1587837726,61,1,-52,86.54,2.53
185,sorland,97,UY,1587837728,80,-34.48,-54.33,70.75,11.54
186,makinsk,97,VN,1587837605,85,13.08,109.3,78.76,11.65
187,grindavik,40,PK,1587837730,54,29.8,71.72,84.2,6.33
188,ondjiva,20,OM,1587837731,83,17.02,54.09,84.2,5.82
189,saldanha,19,BR,1587837627,40,-28.64,-53.61,89.6,10.29
190,aranos,81,RO,1587837735,64,46.43,26.4,53.01,11.16
191,moerai,0,AU,1587837736,18,-23.7,133.88,62.6,6.93
192,lisala,75,CA,1587837736,61,53.92,-122.75,48.99,11.41
193,karaul,75,BR,1587837440,62,-8.76,-63.9,87.8,2.24
194,saint george,91,GW,1587837740,68,11.28,-15.83,78.3,14.23
195,dikson,72,NZ,1587837741,83,-39.93,175.05,54,1.01
196,mount holly,21,NE,1587837742,9,13.32,12.61,93.58,8.01
197,aklavik,75,JP,1587837743,87,28.37,129.48,57.2,4.7
198,coffs harbour,40,US,1587837744,52,39.2,-84.43,70,11.41
199,byron bay,42,RU,1587837746,97,70.63,147.92,15.26,7.56
200,anadyr,66,PG,1587837747,70,-2.02,147.27,83.21,1.03
201,amapa,1,CA,1587837748,87,53.37,-104,44.6,9.17
202,rocha,0,RU,1587837750,88,66.32,-179.17,16.79,4.14
203,tuy hoa,74,RU,1587837751,91,45.05,136.61,33.26,5.79
204,dunyapur,20,US,1587837753,35,64.86,-147.8,30,14.99
205,salalah,47,ET,1587837754,14,9.5,35.5,71.06,4.34
206,cruz alta,75,US,1587837460,52,34.5,-93.06,68,13.87
207,asau,84,RU,1587837756,95,68.75,161.3,11.39,5.46
208,alice springs,25,NZ,1587837757,80,-45.87,170.5,48.99,7.4
209,prince george,21,ET,1587837758,29,8.25,34.58,88.25,4.59
210,porto velho,11,VE,1587837632,29,8.01,-62.4,94.59,8.14
211,marcona,20,GA,1587837761,94,-0.72,8.78,77,2.24
212,bubaque,40,SA,1587837713,25,17.49,44.13,89.6,5.82
